Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Rep. of.",0,0,0,4.084,4.585,5.971,7.309,8.399,9.892,11.513,13.318,15.406,19.248,21.555,24.304,0,0,0,0,0,0,0,0
Albania,3.444,3.695,4.096,4.456,5.6,7.452,8.376,9.133,10.163,11.131,11.726,11.797,13.808,14.91,16.053,11.591,12.204,13.214,14.341,15.553,16.996,16.77,18.012
Algeria,48.845,54.749,55.181,57.053,68.013,85.016,102.38,114.322,116.158,126.889,134.797,154.843,177.83,190.432,203.449,175.077,181.71,192.256,202.179,210.906,219.16,163.812,168.195
Angola,6.153,9.135,8.936,11.386,13.956,19.8,30.632,43.759,55.37,67.608,69.708,87.718,118.426,136.415,151.089,102.011,98.815,105.369,112.533,119.403,127.15,70.339,74.953
Antigua and Barbuda,0.652,0.678,0.71,0.718,0.754,0.818,0.875,0.962,1.026,1.074,1.18,1.196,1.322,1.404,1.494,1.285,1.328,1.386,1.458,1.536,1.617,1.405,1.534
Argentina,283.523,284.204,268.697,97.732,127.643,151.958,181.549,212.702,247.096,277.912,301.331,296.109,315.832,329.332,347.731,578.705,578.692,589.585,602.868,617.386,633.889,455.172,483.765
Armenia,1.845,1.912,2.118,2.376,2.807,3.573,4.903,6.41,7.666,8.579,8.683,8.238,9.086,9.844,10.821,10.607,10.672,11.074,11.63,12.273,12.939,13.612,15.06
Australia,401.782,390.017,368.191,412.901,527.588,639.356,712.436,754.816,822.089,854.072,920.01,982.826,"1,039.69","1,078.91","1,125.82","1,240.80","1,253.00","1,317.16","1,381.51","1,442.47","1,515.70","1,610.56","1,677.45"
Austria,213.39,194.407,193.345,208.566,255.842,293.194,305.338,321.934,348.659,364.58,374.417,389.002,406.52,417.771,430.611,372.606,386.227,402.793,418.402,433.75,452.657,481.209,520.343
Azerbaijan,4.581,5.273,5.708,6.236,7.276,8.682,12.561,19.817,28.699,40.229,42.505,51.916,58.795,62.867,65.776,63.983,63.602,70.927,74.266,83.996,87.276,52.645,54.725
"Bahamas, The",4.704,5.004,5.131,5.389,5.503,5.661,5.87,6.223,6.624,7.026,7.403,7.409,7.786,8.02,8.287,0,0,0,0,0,0,0,0
Bahrain,6.617,7.966,7.927,8.446,9.734,11.18,13.378,16.065,17.505,19.673,19.361,21.567,24.231,25.814,27.165,30.914,32.335,34.318,36.334,38.446,40.522,39.104,41.057
Bangladesh,46.529,47.048,47.194,49.56,54.476,59.12,61.28,65.216,71.443,77.943,92.121,99.088,114.717,123.447,133.176,202.333,218.991,238.723,260.874,285.329,310.858,355.689,390.608
Barbados,2.478,2.559,2.554,2.476,2.695,2.817,3.061,3.386,3.751,3.922,3.595,3.63,4.03,4.23,4.445,4.451,4.537,4.652,4.805,4.999,5.222,4.648,5.142
Belarus,12.104,12.758,12.421,14.654,17.823,23.141,30.131,36.944,38.185,37.323,49.043,53.137,69.146,79.416,91.501,62.02,66.37,70.997,76.023,82.437,89.315,65.754,70.632
Belgium,253.889,232.934,231.928,252.66,310.514,359.155,372.726,393.59,423.541,441.115,461.489,480.154,506.004,520.026,535.079,458.651,473.524,492.062,511.491,531.189,556.197,581.848,619.16
Belize,0.732,0.832,0.871,0.932,0.988,1.055,1.111,1.213,1.286,1.362,1.407,1.471,1.619,1.701,1.787,1.763,1.841,1.931,2.021,2.114,2.207,1.909,2.062
Benin,2.492,2.383,2.502,2.817,3.565,4.053,4.406,4.76,5.377,5.838,6.401,6.772,8.007,8.713,9.483,7.701,8.302,9.061,9.896,10.765,11.659,18.067,19.917
Bhutan,0.43,0.46,0.493,0.545,0.611,0.709,0.828,0.983,1.156,1.29,1.473,1.563,1.83,1.999,2.174,2.209,2.465,2.748,3.141,3.468,3.798,2.48,2.74
Bolivia,8.298,8.412,8.154,7.917,8.102,8.749,9.358,10.828,11.91,13.194,17.549,18.961,21.809,23.306,24.925,33.537,35.231,38.204,41.429,44.903,48.626,38.547,40.895
Bosnia and Herzegovina,4.995,5.298,5.558,6.184,7.801,9.331,10.058,11.396,13.164,14.225,16.961,17.697,20.424,22.102,23.616,15.568,16.306,17.356,18.556,19.897,21.559,21.692,23.006
Botswana,5.629,6.193,6.06,5.959,8.318,9.831,10.195,10.808,11.859,13.071,10.808,11.519,13.64,14.837,15.032,13.091,13.011,13.843,14.814,16.065,17.456,17.605,19.002
Brazil,586.922,644.283,554.41,505.712,552.239,663.552,882.043,"1,067.71","1,177.71","1,251.63","1,481.55","1,724.35","1,924.29","2,036.24","2,155.68","1,799.61","1,672.90","1,759.27","1,854.68","1,953.67","2,054.41","1,645.84","1,810.61"
Brunei Darussalam,4.6,6.001,5.601,5.843,6.557,7.872,9.531,11.438,12.032,12.499,14.695,15.698,16.632,16.917,17.039,11.636,11.853,13.038,14.551,17.129,19.1,15.686,16.263
Bulgaria,12.977,12.639,13.605,15.614,19.974,24.331,26.719,30.608,35.781,39.155,44.777,45.456,49.867,53.912,58.117,47.167,48.594,50.73,53.227,56.032,59.506,77.907,84.308
Burkina Faso,3.015,2.611,2.815,3.301,4.279,5.114,5.624,6.055,6.924,7.563,7.78,8.308,9.758,10.545,11.402,11.323,12.239,13.433,14.778,16.266,18.003,19.932,21.887
Burundi,0.808,0.709,0.662,0.628,0.595,0.664,0.801,0.908,0.999,1.102,1.41,1.437,1.607,1.714,1.835,2.97,3.247,3.512,3.825,4.145,4.489,3.193,3.396
Cambodia,3.516,3.655,3.97,4.28,4.585,5.307,6.233,7.096,7.961,8.655,10.901,11.748,14.434,15.932,17.458,17.714,19.198,20.86,22.765,24.83,27.089,26.08,27.985
Cameroon,10.424,10.046,9.497,10.888,13.63,15.784,16.88,18.372,20.018,21.383,21.82,23.556,26.232,27.73,29.758,28.524,30.79,33.521,36.458,39.594,43.247,44.806,48.29
Canada,661.345,725.158,715.632,734.773,868.485,993.908,"1,132.44","1,269.10","1,266.40","1,334.39","1,319.14","1,438.99","1,584.48","1,651.52","1,713.41","1,572.78","1,592.35","1,682.37","1,773.80","1,860.06","1,958.15","2,015.98","2,189.79"
Cape Verde,0.597,0.539,0.563,0.621,0.814,0.925,0.999,1.15,1.313,1.449,1.755,1.885,2.243,2.459,2.689,0,0,0,0,0,0,0,0
Central African Republic,1.039,0.962,0.968,1.045,1.198,1.309,1.376,1.488,1.624,1.745,1.983,2.146,2.428,2.599,2.776,1.624,1.84,2.096,2.371,2.637,2.916,2.587,2.797
Chad,1.537,1.389,1.711,1.995,2.728,4.421,5.896,6.547,6.139,6.396,6.974,8.241,9.112,9.046,9.205,11.688,12.82,14.704,15.988,17.44,18.547,12.345,12.953
