Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan",545.03876,518.65784,502.37274,489.682,796.8166,842.8052,869.03925,964.4081,1057.0966,1259.9967,1319.6074,1557.3207,1627.6716,1792,1945,2025,2022,1928,1931.2438,1909.733,1888.814,2031.7373,1928.4547,1485.547,1357.9878
"Albania",3873.373,4432.0425,4808.4795,5285.809,5608.9624,6004.645,6419.8706,6858.4673,7347.33,7866.1577,8522.13,8859.472,9222.973,9484,9634.334,9748.728,9942.276,10192.529,10547.255,10958.307,11426.92,11715.307,11372.541,12455.917,12978.101
"Algeria",6069.7773,6421.5083,6834.5537,7218.2456,7814.8384,8590.178,9182.294,9969.623,10385.779,10974.742,11475.002,11907.021,12587.744,13204,13392.944,13508.265,13760.384,14007.894,14198.272,14149.915,14083.772,14000.279,13086.293,13337.262,13506.444
"Angola",1811.1681,1899.4152,2013.6362,2162.485,2522.6719,2711.9282,3064.2986,3708.7705,4592.3374,5773.5483,6743.748,7087.604,7520.6655,8016,8376.946,8463.942,8548.293,8319.567,7819.1475,7535.6123,7180.3555,6886.954,6279.929,6137.004,6118.905
"Argentina",15185.959,14577.832,14368.942,13651.981,12094.772,13088.565,14183.226,15344.157,16490.473,17891.943,18520.305,17328.977,18979.992,20003,19573.963,19821.643,19112.232,19423.666,18819.643,19150.52,18460.87,17912.637,15975.839,17470.682,18292.318
"Armenia",4994.053,5000.4526,5139.8257,5457.5103,6082.146,6743.241,7229.6484,8006.9604,8798.75,9713.213,10080.8125,8399.087,8330.812,8465,9076.433,9395.087,9745.136,10076.352,10113.051,10894.957,11490.369,12399.231,11546.176,12242.478,13837.577
"Australia",34337.14,35551.02,36603.047,37275.992,38567.066,39523.656,40887.727,41904.445,42650.984,44033.582,44421.64,44686.543,45400.223,46132,47045.13,47260.953,47753.848,48145.53,48675.137,49001.902,49614.387,49814.67,48268.945,50704.934,52049.43
"Austria",32376.33,33608.297,34796.258,35272.223,35823.586,36063.12,36957.113,37642.76,38866.848,40305.273,40964.793,39463.656,40288.348,41446,41540.94,41301.94,41250.508,41255.715,41545.5,42216.918,43032.215,43488.668,40503.04,42184.695,43792.855
"Azerbaijan",3550.364,3959.7815,4214.8887,4498.7944,4880.4,5408.523,5971.4746,7553.6265,10160.346,12699.498,14072.627,15384.293,16153.837,16176,16364.532,17146.223,17451.1,17463.758,16770.85,16647.016,16753.209,17029.906,16189.511,16971.725,17682.94
"Bahrain",13776.008,15263.758,17021.723,18152.963,19487.842,21391.611,23389.602,25230.9,26840.125,28884.697,30612.498,31729.566,34057.715,36372,36711.39,37704.21,38364.83,38369.66,38805.39,39553.24,39501.176,39499.707,36890.504,37323.105,38651.6
