Name,Water,Energ (kcal),Protein,Lipid,Ash,Carbohydrt,Sugar,Calcium,Iron,Magnesium,Sodium,Zinc,Copper,Vit_C,Vit_B6,Cholestrl
ABALONE.MIXED SPECIES.RAW,74.56,105,17.1,0.76,1.57,6.01,0,31,3.19,48,301,0.82,0.196,2,0.15,85
ABALONE.MXD SP.CKD.FRIED,60.1,189,19.63,6.78,1.77,11.05,0,37,3.8,56,591,0.95,0.228,1.8,0.15,94
ABIYUCH.RAW,79.9,69,1.5,0.1,0.9,17.6,8.55,8,1.61,24,20,0.31,0.057,54.1,0,0
ACEROLA JUICE.RAW,94.3,23,0.4,0.3,0.2,4.8,4.5,10,0.5,12,3,0.1,0.086,1600,0.004,0
ACEROLA.(WEST INDIAN CHERRY).RAW,91.41,32,0.4,0.3,0.2,7.69,0,12,0.2,18,7,0.1,0.086,1677.6,0.009,0
ACORN FLOUR.FULL FAT,6,501,7.49,30.17,1.69,54.65,0,43,1.21,110,0,0.64,0.611,0,0.688,0
ACORN STEW (APACHE),79.78,95,6.81,3.47,0.72,9.22,0.34,14,1,12,130,1.6,0.03,0,0.055,20
ACORNS.DRIED,5.06,509,8.1,31.41,1.78,53.66,0,54,1.04,82,0,0.67,0.818,0,0.695,0
ACORNS.RAW,27.9,387,6.15,23.86,1.35,40.75,0,41,0.79,62,0,0.51,0.621,0,0.528,0
ADOBO FRESCO,22.1,271,2,20.9,36.4,18.6,2.03,123,3.2,23,17152,0.25,0.03,5.8,0,0
AGAVE.CKD (SOUTHWEST),65.4,135,0.99,0.29,1.32,32,20.87,460,3.55,39,13,0.25,0.112,0.3,0.087,0
AGAVE.DRIED (SOUTHWEST),11.64,341,1.71,0.69,3.98,81.98,50.7,770,3.64,207,14,12.1,0.189,0.3,0.216,0
AGAVE.RAW (SOUTHWEST),81.83,68,0.52,0.15,1.27,16.23,2.58,417,1.8,55,14,0.15,0.138,4,0.055,0
AGUTUK.FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE,34,470,9,43.5,3,10.5,0,0,0.2,16,24,0.47,0.03,0,0,26
AGUTUK.FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE),47.3,353,3.4,31.8,4.1,13.4,0,8,0.3,7,21,0.18,0.03,2.9,0.01,10
AGUTUK.MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE),55.2,258,21.7,18.6,3.6,0.9,0,16,4.55,20,95,3.83,0.19,2.2,0.23,89
ALCOHOLIC BEV.BEER.LT,94.88,29,0.24,0,0.09,1.64,0.09,4,0.03,5,4,0.01,0.006,0,0.034,0
ALCOHOLIC BEV.BEER.LT.BUD LT,95,31,0.25,0,0.11,1.86,0,3,0,7,3,0,0.002,0,0,0
ALCOHOLIC BEV.BEER.LT.BUDWEISER SEL,95.3,28,0.2,0,0.08,0.87,0,4,0,6,3,0.01,0.001,0,0,0
ALCOHOLIC BEV.BEER.LT.MICHELOB ULTRA,95.4,27,0.17,0,0.06,0.73,0,4,0,4,3,0.01,0.002,0,0,0
ALCOHOLIC BEV.BEER.REG.ALL,91.96,43,0.46,0,0.16,3.55,0,4,0.02,6,4,0.01,0.005,0,0.046,0
ALCOHOLIC BEV.BEER.REG.BUDWEISER,92.77,41,0.36,0,0.11,2.97,0,4,0,7,3,0,0.003,0,0,0
ALCOHOLIC BEV.CREME DE MENTHE.72 PROOF,28.3,371,0,0.3,0,41.6,41.6,0,0.07,0,5,0.04,0.08,0,0,0
ALCOHOLIC BEV.DAIQUIRI.CND,74.6,125,0,0,0.1,15.7,0,0,0.01,1,40,0.03,0.016,1.3,0.003,0
ALCOHOLIC BEV.DAIQUIRI.PREPARED-FROM-RECIPE,69.74,186,0.06,0.06,0.08,6.94,5.58,3,0.09,2,5,0.04,0.022,1.6,0.008,0
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 80 PROOF,66.6,231,0,0,0,0,0,0,0.04,0,1,0.04,0.021,0,0.001,0
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 86 PROOF,63.9,250,0,0,0,0.1,0,0,0.04,0,1,0.04,0.021,0,0.001,0
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 90 PROOF,62.1,263,0,0,0,0,0,0,0.04,0,1,0.04,0.021,0,0.001,0
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 94 PROOF,60.3,275,0,0,0,0,0,0,0.04,0,1,0.04,0.021,0,0.001,0
ALCOHOLIC BEV.DISTILLED.ALL 100 PROOF,57.5,295,0,0,0,0,0,0,0.04,0,1,0.04,0.021,0,0.001,0
ALCOHOLIC BEV.DISTILLED.GIN.90 PROOF,62.1,263,0,0,0,0,0,0,0,0,2,0,0.004,0,0,0
ALCOHOLIC BEV.DISTILLED.RUM.80 PROOF,66.6,231,0,0,0,0,0,0,0.12,0,1,0.07,0.05,0,0,0
ALCOHOLIC BEV.DISTILLED.VODKA.80 PROOF,66.6,231,0,0,0,0,0,0,0.01,0,1,0,0.01,0,0,0
ALCOHOLIC BEV.DISTILLED.WHISKEY.86 PROOF,63.9,250,0,0,0,0.1,0.1,0,0.02,0,0,0.02,0.014,0,0,0
ALCOHOLIC BEV.LIQUEUR.COFFEE W/CRM.34 PROOF,46.5,327,2.8,15.7,0.4,20.9,19.76,16,0.13,2,92,0.16,0.04,0.2,0.011,58
ALCOHOLIC BEV.LIQUEUR.COFFEE.53 PROOF,31,326,0.1,0.3,0.1,46.8,46.43,1,0.06,3,8,0.03,0.04,0,0,0
ALCOHOLIC BEV.LIQUEUR.COFFEE.63 PROOF,41.4,308,0.1,0.3,0.1,32.2,32.2,1,0.06,3,8,0.03,0.04,0,0,0
ALCOHOLIC BEV.PINA COLADA.CND,54.9,237,0.6,7.6,0.3,27.6,0,1,0.03,6,71,0.2,0.087,1.5,0.017,0
ALCOHOLIC BEV.PINA COLADA.PREPARED-FROM-RECIPE,64.99,174,0.42,1.88,0.14,22.66,22.33,8,0.21,8,6,0.13,0.079,4.9,0.045,0
ALCOHOLIC BEV.RICE (SAKE),78.4,134,0.5,0,0,5,0,5,0.1,6,2,0.02,0.009,0,0,0
ALCOHOLIC BEV.TEQUILA SUNRISE.CND,78.8,110,0.3,0.1,0.1,11.3,0,0,0.02,7,57,0.6,0.042,19.3,0.05,0
ALCOHOLIC BEV.WHISKEY SOUR.CND,76.9,119,0,0,0.1,13.4,0,0,0.01,1,44,0.06,0.009,1.6,0,0
ALCOHOLIC BEV.WHISKEY SOUR.PREP FROM ITEM 14028,72.44,153,0.06,0.06,0.12,12.82,12.78,1,0.08,1,61,0.06,0.008,1.6,0,0
ALCOHOLIC BEV.WHISKEY SOUR.PREP FROM ITEM 14530,72.6,149,0,0,0.1,13.1,0,1,0.08,1,20,0.06,0.009,1.6,0,0
ALCOHOLIC BEV.WHISKEY SOUR.PREP W/ H2O.WHISKEY & PDR MIX,69.15,164,0.1,0.02,0.27,15.85,15.81,46,0.08,3,47,0.04,0.034,0.4,0,0
ALCOHOLIC BEV.WINE.COOKING,88.9,50,0.5,0,1,6.3,1.55,9,0.4,10,626,0.08,0.011,0,0.02,0
ALCOHOLIC BEV.WINE.DSSRT.DRY,72.53,152,0.2,0,0.3,11.67,1.09,8,0.24,9,9,0.07,0.045,0,0,0
ALCOHOLIC BEV.WINE.DSSRT.SWT,70.51,160,0.2,0,0.3,13.69,7.78,8,0.24,9,9,0.07,0.045,0,0,0
ALCOHOLIC BEV.WINE.LT,92.23,49,0.07,0,0.13,1.17,1.15,9,0.4,10,7,0.08,0.011,0,0.02,0
ALCOHOLIC BEV.WINE.TABLE.ALL,86.58,83,0.07,0,0.24,2.72,0.79,8,0.37,11,5,0.13,0.007,0,0.054,0
ALCOHOLIC BEV.WINE.TABLE.RED,86.49,85,0.07,0,0.28,2.61,0.62,8,0.46,12,4,0.14,0.011,0,0.057,0
ALCOHOLIC BEV.WINE.TABLE.RED.BARBERA,86.29,85,0.07,0,0.23,2.79,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.BURGUNDY,85.62,86,0.07,0,0.34,3.69,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.CABERNET FRANC,86.59,83,0.07,0,0.27,2.45,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.CABERNET SAUVIGNON,86.56,83,0.07,0,0.29,2.6,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.CARIGNANE,87.88,74,0.07,0,0.31,2.4,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.CLARET,86.38,83,0.07,0,0.29,3.01,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.GAMAY,87.49,78,0.07,0,0.21,2.38,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.LEMBERGER,87.02,80,0.07,0,0.25,2.46,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.MERLOT,86.59,83,0.07,0,0.27,2.51,0.62,8,0.46,12,4,0.14,0.011,0,0.057,0
ALCOHOLIC BEV.WINE.TABLE.RED.MOUVEDRE,85.81,88,0.07,0,0.29,2.64,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.PETITE SIRAH,86.22,85,0.07,0,0.31,2.68,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.PINOT NOIR,86.94,82,0.07,0,0.25,2.31,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.SANGIOVESE,86.17,86,0.07,0,0.26,2.62,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.SYRAH,86.53,83,0.07,0,0.32,2.58,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.RED.ZINFANDEL,85.71,88,0.07,0,0.27,2.86,0,0,0,0,0,0,0,0,0,0
ALCOHOLIC BEV.WINE.TABLE.WHITE,86.86,82,0.07,0,0.2,2.6,0.96,9,0.27,10,5,0.12,0.004,0,0.05,0
